lat,lon,ele,time,speed,haccuracy,vaccuracy
58.958694,23.526648,27.0,2025-06-08T05:01:09.351Z,0.8748,2.0,0.0
58.957207,23.494099,27.0,2025-06-08T05:22:36.331Z,5.52096,2.0,0.0
58.95161,23.426827,19.0,2025-06-08T05:45:39.360Z,5.57928,2.0,0.0
58.923906,23.399571,18.0,2025-06-08T06:08:42.373Z,5.26824,2.0,0.0
58.908618,23.367738,21.0,2025-06-08T06:31:44.434Z,2.3522399999999997,2.0,0.0
58.892893,23.328368,19.0,2025-06-08T06:54:50.444Z,5.326560000000001,2.0,0.0
58.860258,23.311103,17.0,2025-06-08T07:17:54.486Z,5.2488,1.0,0.0
58.829023,23.284919,17.0,2025-06-08T07:40:58.529Z,5.443199999999999,1.0,0.0
58.797139,23.25839,16.0,2025-06-08T08:03:57.524Z,5.443199999999999,1.0,0.0
58.763263,23.244085,17.0,2025-06-08T08:27:01.575Z,5.87088,1.0,0.0
58.727605,23.260366,18.0,2025-06-08T08:49:47.596Z,5.851439999999999,2.0,0.0
58.69187,23.28054,17.0,2025-06-08T09:12:49.622Z,5.773680000000001,2.0,0.0
58.663637,23.32109,17.0,2025-06-08T09:35:52.680Z,5.754239999999999,2.0,0.0
58.641626,23.37421,18.0,2025-06-08T09:58:56.699Z,5.52096,1.0,0.0
58.615336,23.409207,19.0,2025-06-08T10:22:03.725Z,4.97664,2.0,0.0
58.588328,23.430465,17.0,2025-06-08T10:45:01.768Z,4.1796,2.0,0.0
58.564357,23.453714,19.0,2025-06-08T11:08:05.810Z,4.374,2.0,0.0
58.540978,23.471386,18.0,2025-06-08T11:31:14.862Z,4.02408,2.0,0.0
58.5181,23.485473,18.0,2025-06-08T11:54:21.822Z,4.21848,2.0,0.0
58.491727,23.496556,17.0,2025-06-08T12:17:31.895Z,3.92688,2.0,0.0
58.463505,23.505321,18.0,2025-06-08T12:40:45.948Z,4.91832,1.0,0.0
58.440501,23.500964,18.0,2025-06-08T13:03:58.958Z,3.86856,2.0,0.0
58.417958,23.488226,18.0,2025-06-08T13:27:05.993Z,4.0824,2.0,0.0
58.39217,23.473492,17.0,2025-06-08T13:50:15.035Z,4.723920000000001,2.0,0.0
58.36488,23.454076,19.0,2025-06-08T14:13:22.051Z,5.0544,2.0,0.0
58.348313,23.407707,21.0,2025-06-08T14:36:29.080Z,5.851439999999999,2.0,0.0
58.341242,23.33696,23.0,2025-06-08T14:59:36.086Z,6.318,1.0,0.0
58.331543,23.264222,18.0,2025-06-08T15:22:43.110Z,5.7348,2.0,0.0
58.317943,23.197177,18.0,2025-06-08T15:45:48.185Z,6.2208000000000006,2.0,0.0
58.307462,23.135409,20.0,2025-06-08T16:08:55.183Z,5.38488,2.0,0.0
58.297981,23.068325,20.0,2025-06-08T16:32:01.218Z,6.201359999999999,2.0,0.0
58.31742,23.014498,21.0,2025-06-08T16:55:09.278Z,5.890319999999999,2.0,0.0
58.351136,22.986856,20.0,2025-06-08T17:18:14.299Z,5.6376,2.0,0.0
58.368179,22.968639,19.0,2025-06-08T17:41:13.353Z,0.09720000000000001,2.0,0.0
58.370426,22.973851,24.0,2025-06-08T18:01:09.385Z,0.0,2.0,0.0
58.369978,22.974675,23.0,2025-06-08T19:03:31.495Z,0.0,21.0,0.0
58.369994,22.974657,23.0,2025-06-08T19:05:04.178Z,0.0,20.0,0.0
