lat,lon,ele,time,speed,haccuracy,vaccuracy
57.421518,18.913831,22.0,2026-07-05T01:31:30.229Z,0.0,2.0,0.0
57.423997,19.001404,21.0,2026-07-05T02:25:22.318Z,4.29624,5.0,0.0
57.419921,19.133712,24.0,2026-07-05T03:19:22.384Z,5.50152,5.0,0.0
57.426344,19.265000,21.0,2026-07-05T04:13:21.457Z,4.723920000000001,8.0,0.0
57.433801,19.400020,19.0,2026-07-05T05:07:23.526Z,5.3654399999999995,6.0,0.0
57.430996,19.533662,18.0,2026-07-05T06:01:27.585Z,3.92688,8.0,0.0
57.433302,19.657699,20.0,2026-07-05T06:55:32.135Z,3.9074399999999994,7.0,0.0
57.438936,19.765582,19.0,2026-07-05T07:49:36.207Z,2.97432,4.0,0.0
57.440767,19.864817,16.0,2026-07-05T08:43:40.273Z,3.34368,7.0,0.0
57.438445,19.968939,22.0,2026-07-05T09:37:44.342Z,3.81024,7.0,0.0
57.435393,20.071267,23.0,2026-07-05T10:31:48.410Z,3.26592,7.0,0.0
57.446156,20.196655,22.0,2026-07-05T11:25:52.467Z,4.68504,4.0,0.0
57.440283,20.341444,22.0,2026-07-05T12:19:56.524Z,6.5124,3.0,0.0
57.433309,20.489189,21.0,2026-07-05T13:14:00.579Z,5.07384,3.0,0.0
57.438413,20.642779,23.0,2026-07-05T14:08:04.643Z,6.29856,4.0,0.0
57.431369,20.795523,21.0,2026-07-05T15:02:11.698Z,5.01552,5.0,0.0
57.425981,20.955583,23.0,2026-07-05T15:56:17.739Z,5.96808,5.0,0.0
57.428094,21.114194,20.0,2026-07-05T16:50:21.835Z,5.13216,6.0,0.0
57.434235,21.265177,22.0,2026-07-05T17:44:25.905Z,4.91832,4.0,0.0
57.431895,21.414678,21.0,2026-07-05T18:38:29.964Z,5.6181600000000005,5.0,0.0
57.396289,21.539516,23.0,2026-07-05T19:32:34.023Z,3.2076,4.0,0.0
57.394206,21.534897,22.0,2026-07-05T20:26:38.119Z,0.0,3.0,0.0
57.394191,21.534944,20.0,2026-07-05T21:20:41.184Z,0.0,3.0,0.0
57.394191,21.534942,22.0,2026-07-05T22:14:44.249Z,0.0,3.0,0.0
57.394177,21.534939,23.0,2026-07-05T23:08:48.312Z,0.0,3.0,0.0
57.394179,21.534948,22.0,2026-07-06T00:02:52.363Z,0.0,3.0,0.0
57.394184,21.534946,21.0,2026-07-06T00:56:56.432Z,0.0,3.0,0.0
57.394184,21.534962,22.0,2026-07-06T01:51:00.496Z,0.0,3.0,0.0
57.394179,21.534955,21.0,2026-07-06T02:45:04.559Z,0.0,3.0,0.0
57.394179,21.534939,18.0,2026-07-06T03:39:08.628Z,0.0,3.0,0.0
57.394189,21.534935,21.0,2026-07-06T04:33:12.706Z,0.0,4.0,0.0
57.394184,21.534955,21.0,2026-07-06T05:27:16.751Z,0.0,5.0,0.0
57.393772,21.532990,32.0,2026-07-06T06:38:38.817Z,0.0,45.0,0.0
57.394215,21.534933,20.0,2026-07-06T07:36:21.896Z,0.0,4.0,0.0
57.394179,21.534924,20.0,2026-07-06T08:30:25.950Z,0.0,4.0,0.0
57.394189,21.534921,21.0,2026-07-06T09:24:35.020Z,0.0,3.0,0.0
57.394184,21.534930,21.0,2026-07-06T09:24:58.012Z,0.0,1.0,0.0
