lat,lon,ele,time,speed,haccuracy,vaccuracy
59.402665,24.203585,29.0,2025-06-05T10:57:11.763Z,0.0,2.0,0.0
59.402679,24.203598,29.0,2025-06-05T11:06:44.807Z,0.0,2.0,0.0
59.408814,24.22299,28.0,2025-06-05T11:17:49.839Z,5.6181600000000005,2.0,0.0
59.415969,24.208676,18.0,2025-06-05T11:29:12.828Z,4.1212800000000005,2.0,0.0
59.416651,24.183778,18.0,2025-06-05T11:40:35.901Z,4.7628,1.0,0.0
59.413888,24.155024,17.0,2025-06-05T11:51:40.859Z,4.89888,2.0,0.0
59.411255,24.125906,18.0,2025-06-05T12:03:02.873Z,4.74336,2.0,0.0
59.407069,24.097044,18.0,2025-06-05T12:14:24.886Z,4.68504,2.0,0.0
59.405075,24.069099,20.0,2025-06-05T12:25:46.919Z,4.257359999999999,2.0,0.0
59.402938,24.04434,18.0,2025-06-05T12:37:07.929Z,4.52952,2.0,0.0
59.399338,24.01644,17.0,2025-06-05T12:48:31.943Z,4.957199999999999,1.0,0.0
59.394033,23.990603,18.0,2025-06-05T12:59:53.955Z,3.92688,2.0,0.0
59.389268,23.963998,17.0,2025-06-05T13:10:53.990Z,5.0544,2.0,0.0
59.383102,23.936077,16.0,2025-06-05T13:22:13.982Z,5.2488,2.0,0.0
59.377102,23.91177,18.0,2025-06-05T13:33:36.018Z,4.31568,2.0,0.0
59.369834,23.88914,18.0,2025-06-05T13:44:59.021Z,4.58784,2.0,0.0
59.360131,23.8666,19.0,2025-06-05T13:56:21.037Z,5.20992,2.0,0.0
59.350169,23.841241,17.0,2025-06-05T14:07:43.055Z,5.5404,2.0,0.0
59.338916,23.816774,17.0,2025-06-05T14:19:04.101Z,5.20992,2.0,0.0
59.329632,23.795696,16.0,2025-06-05T14:29:02.097Z,5.07384,2.0,0.0
59.318129,23.770295,17.0,2025-06-05T14:40:24.111Z,5.20992,2.0,0.0
59.308347,23.744649,18.0,2025-06-05T14:51:45.095Z,5.09328,1.0,0.0
59.302938,23.720488,19.0,2025-06-05T15:01:22.131Z,4.996079999999999,3.0,0.0
59.299148,23.698839,19.0,2025-06-05T15:09:27.137Z,5.03496,3.0,0.0
59.294692,23.674101,18.0,2025-06-05T15:18:34.169Z,5.404319999999999,2.0,0.0
59.284685,23.647323,19.0,2025-06-05T15:29:56.182Z,5.20992,2.0,0.0
59.274624,23.622202,20.0,2025-06-05T15:41:18.192Z,5.2488,2.0,0.0
59.2654,23.595526,21.0,2025-06-05T15:52:40.200Z,5.151599999999999,2.0,0.0
59.256896,23.56886,21.0,2025-06-05T16:04:02.198Z,5.42376,2.0,0.0
59.249509,23.542821,21.0,2025-06-05T16:15:24.242Z,4.6655999999999995,2.0,0.0
59.241919,23.518478,20.0,2025-06-05T16:26:46.242Z,4.41288,2.0,0.0
59.234769,23.495053,19.0,2025-06-05T16:38:01.267Z,4.374,2.0,0.0
59.217849,23.501321,19.0,2025-06-05T16:49:31.283Z,5.65704,2.0,0.0
59.21015,23.500571,19.0,2025-06-05T16:59:51.291Z,0.17495999999999998,2.0,0.0
59.210295,23.499432,20.0,2025-06-05T17:09:21.319Z,0.0,7.0,0.0
59.210293,23.499432,24.0,2025-06-05T17:18:50.329Z,0.0,3.0,0.0
